Oscilloscope 1.6.3

Experiment
Jméno

L E G E N D
CH A	napìtí na primární cívce
CH B	proud na odporu

M E A S U R E
Channel	U rms	U mean	U max	U min	f
A	0,11 V	0,00 V	0,16 V	-0,16 V	50,00 Hz
B	1,30 V	0,00 V	1,84 V	-1,84 V	50,00 Hz


Time [ms]	CH A [V]	CH B [V]
0,0	0,02	-0,10
0,2	0,02	-0,22
0,4	0,02	-0,34
0,6	0,04	-0,46
0,8	0,04	-0,56
1,0	0,06	-0,68
1,2	0,06	-0,78
1,4	0,08	-0,88
1,6	0,08	-0,98
1,8	0,10	-1,08
2,0	0,10	-1,16
2,2	0,10	-1,26
2,4	0,12	-1,34
2,6	0,12	-1,42
2,8	0,12	-1,50
3,0	0,14	-1,56
3,2	0,14	-1,62
3,4	0,14	-1,66
3,6	0,14	-1,72
3,8	0,14	-1,76
4,0	0,14	-1,78
4,2	0,16	-1,82
4,4	0,16	-1,84
4,6	0,16	-1,84
4,8	0,16	-1,84
5,0	0,16	-1,84
5,2	0,16	-1,84
5,4	0,16	-1,82
5,6	0,14	-1,80
5,8	0,14	-1,76
6,0	0,14	-1,72
6,2	0,14	-1,68
6,4	0,14	-1,62
6,6	0,12	-1,56
6,8	0,12	-1,50
7,0	0,12	-1,42
7,2	0,12	-1,36
7,4	0,10	-1,26
7,6	0,10	-1,18
7,8	0,08	-1,08
8,0	0,08	-1,00
8,2	0,08	-0,90
8,4	0,06	-0,80
8,6	0,06	-0,68
8,8	0,04	-0,58
9,0	0,04	-0,46
9,2	0,02	-0,36
9,4	0,02	-0,24
9,6	0,00	-0,12
9,8	0,00	0,00
10,0	-0,02	0,10
10,2	-0,02	0,22
10,4	-0,04	0,34
10,6	-0,04	0,44
10,8	-0,06	0,56
11,0	-0,06	0,66
11,2	-0,06	0,78
11,4	-0,08	0,88
11,6	-0,08	0,98
11,8	-0,10	1,08
12,0	-0,10	1,16
12,2	-0,10	1,26
12,4	-0,12	1,34
12,6	-0,12	1,40
12,8	-0,12	1,48
13,0	-0,14	1,54
13,2	-0,14	1,60
13,4	-0,14	1,66
13,6	-0,14	1,70
13,8	-0,16	1,74
14,0	-0,16	1,78
14,2	-0,16	1,80
14,4	-0,16	1,82
14,6	-0,16	1,84
14,8	-0,16	1,84
15,0	-0,16	1,84
15,2	-0,16	1,82
15,4	-0,16	1,80
15,6	-0,16	1,78
15,8	-0,14	1,76
16,0	-0,14	1,72
16,2	-0,14	1,66
16,4	-0,14	1,62
16,6	-0,14	1,56
16,8	-0,12	1,50
17,0	-0,12	1,42
17,2	-0,12	1,34
17,4	-0,10	1,26
17,6	-0,10	1,18
17,8	-0,10	1,08
18,0	-0,08	0,98
18,2	-0,08	0,88
18,4	-0,06	0,78
18,6	-0,06	0,68
18,8	-0,04	0,58
19,0	-0,04	0,46
19,2	-0,02	0,34
19,4	-0,02	0,24
19,6	0,00	0,12
19,8	0,00	0,00
20,0	0,02	-0,10
20,2	0,02	-0,22
20,4	0,02	-0,34
20,6	0,04	-0,46
20,8	0,04	-0,56
21,0	0,06	-0,68
21,2	0,06	-0,78
21,4	0,08	-0,88
21,6	0,08	-0,98
21,8	0,10	-1,08
22,0	0,10	-1,18
22,2	0,10	-1,26
22,4	0,12	-1,34
22,6	0,12	-1,42
22,8	0,12	-1,50
23,0	0,14	-1,56
23,2	0,14	-1,62
23,4	0,14	-1,66
23,6	0,14	-1,72
23,8	0,14	-1,76
24,0	0,14	-1,78
24,2	0,16	-1,82
24,4	0,16	-1,84
24,6	0,16	-1,84
24,8	0,16	-1,84
25,0	0,16	-1,84
25,2	0,16	-1,84
25,4	0,16	-1,82
25,6	0,14	-1,80
25,8	0,14	-1,76
26,0	0,14	-1,72
26,2	0,14	-1,68
26,4	0,14	-1,62
26,6	0,12	-1,56
26,8	0,12	-1,50
