,time,[V],[V]
0,0.0,0.02,-0.12
1,0.0,0.02,-0.12
2,0.0,0.02,-0.12
3,0.2,0.02,-0.18
4,0.2,0.02,-0.18
5,0.2,0.02,-0.18
6,0.4,0.02,-0.24
7,0.4,0.02,-0.24
8,0.4,0.02,-0.24
9,0.6,0.02,-0.28
10,0.6,0.02,-0.28
11,0.6,0.02,-0.28
12,0.8,0.02,-0.34
13,0.8,0.02,-0.34
14,0.8,0.02,-0.34
15,1.0,0.04,-0.40
16,1.0,0.04,-0.40
17,1.0,0.04,-0.40
18,1.2,0.04,-0.44
19,1.2,0.04,-0.44
20,1.2,0.04,-0.44
21,1.4,0.04,-0.50
22,1.4,0.04,-0.50
23,1.4,0.04,-0.50
24,1.6,0.04,-0.54
25,1.6,0.04,-0.54
26,1.6,0.04,-0.54
27,1.8,0.04,-0.60
28,1.8,0.04,-0.60
29,1.8,0.04,-0.60
30,2.0,0.06,-0.64
31,2.0,0.06,-0.64
32,2.0,0.06,-0.64
33,2.2,0.06,-0.68
34,2.2,0.06,-0.68
35,2.2,0.06,-0.68
36,2.4,0.06,-0.72
37,2.4,0.06,-0.72
38,2.4,0.06,-0.72
39,2.6,0.06,-0.76
40,2.6,0.06,-0.76
41,2.6,0.06,-0.76
42,2.8,0.06,-0.78
43,2.8,0.06,-0.78
44,2.8,0.06,-0.78
45,3.0,0.06,-0.82
46,3.0,0.06,-0.82
47,3.0,0.06,-0.82
48,3.2,0.06,-0.84
49,3.2,0.06,-0.84
50,3.2,0.06,-0.84
51,3.4,0.08,-0.86
52,3.4,0.08,-0.86
53,3.4,0.08,-0.86
54,3.6,0.08,-0.88
55,3.6,0.08,-0.88
56,3.6,0.08,-0.88
57,3.8,0.08,-0.90
58,3.8,0.08,-0.90
59,3.8,0.08,-0.90
60,4.0,0.08,-0.92
61,4.0,0.08,-0.92
62,4.0,0.08,-0.92
63,4.2,0.08,-0.92
64,4.2,0.08,-0.92
65,4.2,0.08,-0.92
66,4.4,0.08,-0.92
67,4.4,0.08,-0.92
68,4.4,0.08,-0.92
69,4.6,0.08,-0.92
70,4.6,0.08,-0.92
71,4.6,0.08,-0.92
72,4.8,0.08,-0.92
73,4.8,0.08,-0.92
74,4.8,0.08,-0.92
75,5.0,0.08,-0.92
76,5.0,0.08,-0.92
77,5.0,0.08,-0.92
78,5.2,0.08,-0.90
79,5.2,0.08,-0.90
80,5.2,0.08,-0.90
81,5.4,0.08,-0.90
82,5.4,0.08,-0.90
83,5.4,0.08,-0.90
84,5.6,0.08,-0.88
85,5.6,0.08,-0.88
86,5.6,0.08,-0.88
87,5.8,0.06,-0.86
88,5.8,0.06,-0.86
