,time,[V],[V]
0,0.0,0.02,0.34
1,0.0,0.02,0.34
2,0.0,0.02,0.34
3,0.2,0.16,0.24
4,0.2,0.16,0.24
5,0.2,0.16,0.24
6,0.4,0.30,0.14
7,0.4,0.30,0.14
8,0.4,0.30,0.14
9,0.6,0.44,0.02
10,0.6,0.44,0.02
11,0.6,0.44,0.02
12,0.8,0.58,-0.08
13,0.8,0.58,-0.08
14,0.8,0.58,-0.08
15,1.0,0.70,-0.18
16,1.0,0.70,-0.18
17,1.0,0.70,-0.18
18,1.2,0.82,-0.28
19,1.2,0.82,-0.28
20,1.2,0.82,-0.28
21,1.4,0.92,-0.38
22,1.4,0.92,-0.38
23,1.4,0.92,-0.38
24,1.6,1.00,-0.48
25,1.6,1.00,-0.48
26,1.6,1.00,-0.48
27,1.8,1.08,-0.56
28,1.8,1.08,-0.56
29,1.8,1.08,-0.56
30,2.0,1.14,-0.64
31,2.0,1.14,-0.64
32,2.0,1.14,-0.64
33,2.2,1.18,-0.70
34,2.2,1.18,-0.70
35,2.2,1.18,-0.70
36,2.4,1.20,-0.76
37,2.4,1.20,-0.76
38,2.4,1.20,-0.76
39,2.6,1.20,-0.80
40,2.6,1.20,-0.80
41,2.6,1.20,-0.80
42,2.8,1.18,-0.84
43,2.8,1.18,-0.84
44,2.8,1.18,-0.84
45,3.0,1.14,-0.84
46,3.0,1.14,-0.84
47,3.0,1.14,-0.84
48,3.2,1.08,-0.84
49,3.2,1.08,-0.84
50,3.2,1.08,-0.84
51,3.4,1.00,-0.84
52,3.4,1.00,-0.84
53,3.4,1.00,-0.84
54,3.6,0.92,-0.82
55,3.6,0.92,-0.82
56,3.6,0.92,-0.82
57,3.8,0.82,-0.78
58,3.8,0.82,-0.78
59,3.8,0.82,-0.78
60,4.0,0.70,-0.74
61,4.0,0.70,-0.74
62,4.0,0.70,-0.74
63,4.2,0.56,-0.68
64,4.2,0.56,-0.68
65,4.2,0.56,-0.68
66,4.4,0.42,-0.60
67,4.4,0.42,-0.60
68,4.4,0.42,-0.60
69,4.6,0.28,-0.52
70,4.6,0.28,-0.52
71,4.6,0.28,-0.52
72,4.8,0.14,-0.44
73,4.8,0.14,-0.44
74,4.8,0.14,-0.44
75,5.0,-0.02,-0.34
76,5.0,-0.02,-0.34
77,5.0,-0.02,-0.34
78,5.2,-0.16,-0.24
79,5.2,-0.16,-0.24
80,5.2,-0.16,-0.24
81,5.4,-0.30,-0.14
82,5.4,-0.30,-0.14
83,5.4,-0.30,-0.14
84,5.6,-0.44,-0.04
85,5.6,-0.44,-0.04
86,5.6,-0.44,-0.04
87,5.8,-0.58,0.08
88,5.8,-0.58,0.08
89,5.8,-0.58,0.08
90,6.0,-0.70,0.18
91,6.0,-0.70,0.18
92,6.0,-0.70,0.18
93,6.2,-0.82,0.28
94,6.2,-0.82,0.28
95,6.2,-0.82,0.28
96,6.4,-0.92,0.38
97,6.4,-0.92,0.38
98,6.4,-0.92,0.38
99,6.6,-1.00,0.48
100,6.6,-1.00,0.48
101,6.6,-1.00,0.48
102,6.8,-1.08,0.56
103,6.8,-1.08,0.56
104,6.8,-1.08,0.56
105,7.0,-1.14,0.64
106,7.0,-1.14,0.64
107,7.0,-1.14,0.64
108,7.2,-1.18,0.70
109,7.2,-1.18,0.70
110,7.2,-1.18,0.70
111,7.4,-1.20,0.76
112,7.4,-1.20,0.76
113,7.4,-1.20,0.76
114,7.6,-1.20,0.80
115,7.6,-1.20,0.80
116,7.6,-1.20,0.80
117,7.8,-1.18,0.82
118,7.8,-1.18,0.82
119,7.8,-1.18,0.82
120,8.0,-1.14,0.84
121,8.0,-1.14,0.84
122,8.0,-1.14,0.84
123,8.2,-1.08,0.84
124,8.2,-1.08,0.84
125,8.2,-1.08,0.84
126,8.4,-1.00,0.84
127,8.4,-1.00,0.84
128,8.4,-1.00,0.84
129,8.6,-0.92,0.80
130,8.6,-0.92,0.80
131,8.6,-0.92,0.80
132,8.8,-0.82,0.78
133,8.8,-0.82,0.78
134,8.8,-0.82,0.78
135,9.0,-0.70,0.72
136,9.0,-0.70,0.72
137,9.0,-0.70,0.72
138,9.2,-0.58,0.66
139,9.2,-0.58,0.66
140,9.2,-0.58,0.66
141,9.4,-0.44,0.60
142,9.4,-0.44,0.60
143,9.4,-0.44,0.60
144,9.6,-0.28,0.52
145,9.6,-0.28,0.52
146,9.6,-0.28,0.52
147,9.8,-0.14,0.44
148,9.8,-0.14,0.44
149,9.8,-0.14,0.44
150,10.0,0.02,0.34
151,10.0,0.02,0.34
152,10.0,0.02,0.34
153,10.2,0.16,0.24
154,10.2,0.16,0.24
155,10.2,0.16,0.24
156,10.4,0.30,0.14
157,10.4,0.30,0.14
158,10.4,0.30,0.14
159,10.6,0.44,0.02
160,10.6,0.44,0.02
161,10.6,0.44,0.02
162,10.8,0.58,-0.08
163,10.8,0.58,-0.08
164,10.8,0.58,-0.08
165,11.0,0.70,-0.18
166,11.0,0.70,-0.18
167,11.0,0.70,-0.18
168,11.2,0.82,-0.30
169,11.2,0.82,-0.30
170,11.2,0.82,-0.30
171,11.4,0.92,-0.38
172,11.4,0.92,-0.38
173,11.4,0.92,-0.38
174,11.6,1.00,-0.48
175,11.6,1.00,-0.48
176,11.6,1.00,-0.48
177,11.8,1.08,-0.56
178,11.8,1.08,-0.56
179,11.8,1.08,-0.56
180,12.0,1.14,-0.64
181,12.0,1.14,-0.64
182,12.0,1.14,-0.64
183,12.2,1.18,-0.70
184,12.2,1.18,-0.70
185,12.2,1.18,-0.70
186,12.4,1.20,-0.76
187,12.4,1.20,-0.76
188,12.4,1.20,-0.76
189,12.6,1.20,-0.80
190,12.6,1.20,-0.80
191,12.6,1.20,-0.80
192,12.8,1.18,-0.82
193,12.8,1.18,-0.82
194,12.8,1.18,-0.82
195,13.0,1.14,-0.84
196,13.0,1.14,-0.84
197,13.0,1.14,-0.84
198,13.2,1.08,-0.84
199,13.2,1.08,-0.84
200,13.2,1.08,-0.84
201,13.4,1.00,-0.84
202,13.4,1.00,-0.84
203,13.4,1.00,-0.84
204,13.6,0.92,-0.82
205,13.6,0.92,-0.82
206,13.6,0.92,-0.82
207,13.8,0.82,-0.78
208,13.8,0.82,-0.78
209,13.8,0.82,-0.78
210,14.0,0.70,-0.74
211,14.0,0.70,-0.74
212,14.0,0.70,-0.74
213,14.2,0.56,-0.68
214,14.2,0.56,-0.68
215,14.2,0.56,-0.68
216,14.4,0.42,-0.60
217,14.4,0.42,-0.60
218,14.4,0.42,-0.60
219,14.6,0.28,-0.52
220,14.6,0.28,-0.52
221,14.6,0.28,-0.52
