,time,[V],[V]
0,0.0,0.02,-0.12
1,0.2,0.02,-0.18
2,0.4,0.02,-0.24
3,0.6,0.02,-0.28
4,0.8,0.02,-0.34
5,1.0,0.04,-0.40
6,1.2,0.04,-0.44
7,1.4,0.04,-0.50
8,1.6,0.04,-0.54
9,1.8,0.04,-0.60
10,2.0,0.06,-0.64
11,2.2,0.06,-0.68
12,2.4,0.06,-0.72
13,2.6,0.06,-0.76
14,2.8,0.06,-0.78
15,3.0,0.06,-0.82
16,3.2,0.06,-0.84
17,3.4,0.08,-0.86
18,3.6,0.08,-0.88
19,3.8,0.08,-0.90
20,4.0,0.08,-0.92
21,4.2,0.08,-0.92
22,4.4,0.08,-0.92
23,4.6,0.08,-0.92
24,4.8,0.08,-0.92
25,5.0,0.08,-0.92
26,5.2,0.08,-0.90
27,5.4,0.08,-0.90
28,5.6,0.08,-0.88
29,5.8,0.06,-0.86
30,6.0,0.06,-0.84
31,6.2,0.06,-0.82
32,6.4,0.06,-0.78
33,6.6,0.06,-0.74
34,6.8,0.06,-0.72
35,7.0,0.06,-0.68
36,7.2,0.06,-0.64
37,7.4,0.04,-0.58
38,7.6,0.04,-0.54
39,7.8,0.04,-0.50
40,8.0,0.04,-0.44
41,8.2,0.02,-0.40
42,8.4,0.02,-0.34
43,8.6,0.02,-0.28
44,8.8,0.02,-0.24
45,9.0,0.02,-0.18
46,9.2,0.00,-0.12
47,9.4,0.00,-0.06
48,9.6,0.00,0.00
49,9.8,-0.02,0.06
50,10.0,-0.02,0.12
51,10.2,-0.02,0.16
52,10.4,-0.02,0.22
53,10.6,-0.02,0.28
54,10.8,-0.04,0.34
55,11.0,-0.04,0.38
56,11.2,-0.04,0.44
57,11.4,-0.04,0.48
58,11.6,-0.04,0.54
59,11.8,-0.06,0.58
60,12.0,-0.06,0.62
61,12.2,-0.06,0.66
62,12.4,-0.06,0.70
63,12.6,-0.06,0.74
64,12.8,-0.06,0.78
65,13.0,-0.06,0.80
66,13.2,-0.08,0.82
67,13.4,-0.08,0.86
68,13.6,-0.08,0.88
69,13.8,-0.08,0.88
70,14.0,-0.08,0.90
71,14.2,-0.08,0.92
72,14.4,-0.08,0.92
73,14.6,-0.08,0.92
74,14.8,-0.08,0.92
75,15.0,-0.08,0.90
76,15.2,-0.08,0.90
77,15.4,-0.08,0.88
78,15.6,-0.08,0.88
79,15.8,-0.08,0.86
80,16.0,-0.08,0.82
81,16.2,-0.06,0.80
82,16.4,-0.06,0.78
83,16.6,-0.06,0.74
84,16.8,-0.06,0.70
85,17.0,-0.06,0.66
86,17.2,-0.06,0.62
87,17.4,-0.04,0.58
88,17.6,-0.04,0.54
89,17.8,-0.04,0.50
90,18.0,-0.04,0.44
91,18.2,-0.04,0.38
92,18.4,-0.02,0.34
93,18.6,-0.02,0.28
94,18.8,-0.02,0.22
95,19.0,-0.02,0.16
96,19.2,0.00,0.10
97,19.4,0.00,0.06
98,19.6,0.00,0.00
99,19.8,0.00,-0.06
100,20.0,0.02,-0.12
101,20.2,0.02,-0.18
102,20.4,0.02,-0.24
103,20.6,0.02,-0.28
104,20.8,0.02,-0.34
105,21.0,0.04,-0.40
106,21.2,0.04,-0.44
107,21.4,0.04,-0.50
108,21.6,0.04,-0.54
109,21.8,0.04,-0.58
110,22.0,0.06,-0.64
111,22.2,0.06,-0.68
112,22.4,0.06,-0.72
113,22.6,0.06,-0.76
114,22.8,0.06,-0.78
115,23.0,0.06,-0.82
116,23.2,0.06,-0.84
117,23.4,0.08,-0.86
118,23.6,0.08,-0.88
119,23.8,0.08,-0.90
120,24.0,0.08,-0.92
121,24.2,0.08,-0.92
122,24.4,0.08,-0.92
123,24.6,0.08,-0.92
124,24.8,0.08,-0.92
125,25.0,0.08,-0.92
126,25.2,0.08,-0.90
127,25.4,0.08,-0.90
128,25.6,0.08,-0.88
129,25.8,0.08,-0.86
130,26.0,0.06,-0.84
131,26.2,0.06,-0.82
132,26.4,0.06,-0.78
133,26.6,0.06,-0.74
134,26.8,0.06,-0.72
135,27.0,0.06,-0.68
136,27.2,0.06,-0.64
137,27.4,0.04,-0.58
138,27.6,0.04,-0.54
139,27.8,0.04,-0.50
140,28.0,0.04,-0.44
141,28.2,0.04,-0.40
142,28.4,0.02,-0.34
143,28.6,0.02,-0.28
144,28.8,0.02,-0.24
145,29.0,0.02,-0.18
146,29.2,0.00,-0.12
147,29.4,0.00,-0.06
148,29.6,0.00,0.00
149,29.8,0.00,0.06
150,30.0,-0.02,0.12
151,30.2,-0.02,0.16
152,30.4,-0.02,0.22
153,30.6,-0.02,0.28
154,30.8,-0.04,0.34
155,31.0,-0.04,0.38
156,31.2,-0.04,0.44
157,31.4,-0.04,0.48
158,31.6,-0.04,0.54
159,31.8,-0.06,0.58
160,32.0,-0.06,0.62
161,32.2,-0.06,0.66
162,32.4,-0.06,0.70
163,32.6,-0.06,0.74
164,32.8,-0.06,0.78
165,33.0,-0.06,0.80
166,33.2,-0.08,0.82
167,33.4,-0.08,0.86
168,33.6,-0.08,0.88
169,33.8,-0.08,0.90
170,34.0,-0.08,0.90
171,34.2,-0.08,0.92
172,34.4,-0.08,0.92
173,34.6,-0.08,0.92
174,34.8,-0.08,0.92
175,35.0,-0.08,0.92
176,35.2,-0.08,0.90
177,35.4,-0.08,0.88
178,35.6,-0.08,0.88
179,35.8,-0.08,0.86
180,36.0,-0.06,0.82
181,36.2,-0.06,0.80
182,36.4,-0.06,0.78
183,36.6,-0.06,0.74
184,36.8,-0.06,0.70
185,37.0,-0.06,0.66
186,37.2,-0.06,0.62
187,37.4,-0.04,0.58
188,37.6,-0.04,0.54
189,37.8,-0.04,0.48
190,38.0,-0.04,0.44
191,38.2,-0.04,0.38
192,38.4,-0.02,0.34
193,38.6,-0.02,0.28
194,38.8,-0.02,0.22
195,39.0,-0.02,0.16
196,39.2,0.00,0.10
197,39.4,0.00,0.06
198,39.6,0.00,0.00
