,time,[V],[V]
0,0.0,0.02,0.28
1,0.2,0.12,0.26
2,0.4,0.22,0.22
3,0.6,0.30,0.20
4,0.8,0.40,0.16
5,1.0,0.48,0.12
6,1.2,0.56,0.10
7,1.4,0.62,0.06
8,1.6,0.68,0.02
9,1.8,0.74,-0.02
10,2.0,0.78,-0.06
11,2.2,0.80,-0.10
12,2.4,0.82,-0.14
13,2.6,0.82,-0.16
14,2.8,0.80,-0.20
15,3.0,0.78,-0.22
16,3.2,0.74,-0.26
17,3.4,0.68,-0.28
18,3.6,0.62,-0.28
19,3.8,0.56,-0.30
20,4.0,0.48,-0.32
21,4.2,0.38,-0.32
22,4.4,0.28,-0.32
23,4.6,0.18,-0.30
24,4.8,0.08,-0.30
25,5.0,-0.02,-0.28
26,5.2,-0.12,-0.26
27,5.4,-0.22,-0.24
28,5.6,-0.30,-0.20
29,5.8,-0.40,-0.18
30,6.0,-0.48,-0.14
31,6.2,-0.56,-0.10
32,6.4,-0.62,-0.06
33,6.6,-0.70,-0.02
34,6.8,-0.74,0.02
35,7.0,-0.78,0.06
36,7.2,-0.80,0.10
37,7.4,-0.82,0.12
38,7.6,-0.82,0.16
39,7.8,-0.80,0.20
40,8.0,-0.78,0.22
41,8.2,-0.74,0.24
42,8.4,-0.68,0.26
43,8.6,-0.62,0.28
44,8.8,-0.56,0.30
45,9.0,-0.48,0.30
46,9.2,-0.38,0.30
47,9.4,-0.30,0.30
48,9.6,-0.20,0.30
49,9.8,-0.10,0.28
50,10.0,0.02,0.28
51,10.2,0.12,0.26
52,10.4,0.22,0.22
53,10.6,0.30,0.20
54,10.8,0.40,0.16
55,11.0,0.48,0.12
56,11.2,0.56,0.10
57,11.4,0.62,0.06
58,11.6,0.68,0.02
59,11.8,0.74,-0.02
60,12.0,0.78,-0.06
61,12.2,0.80,-0.10
62,12.4,0.82,-0.14
63,12.6,0.82,-0.16
64,12.8,0.80,-0.20
65,13.0,0.78,-0.22
66,13.2,0.74,-0.26
67,13.4,0.68,-0.28
68,13.6,0.62,-0.30
69,13.8,0.56,-0.30
70,14.0,0.48,-0.32
71,14.2,0.38,-0.32
72,14.4,0.30,-0.32
73,14.6,0.20,-0.30
74,14.8,0.08,-0.30
75,15.0,-0.02,-0.28
76,15.2,-0.12,-0.26
77,15.4,-0.22,-0.24
78,15.6,-0.32,-0.20
79,15.8,-0.40,-0.18
80,16.0,-0.48,-0.14
81,16.2,-0.56,-0.10
82,16.4,-0.62,-0.06
83,16.6,-0.68,-0.02
84,16.8,-0.74,0.02
85,17.0,-0.78,0.06
86,17.2,-0.80,0.10
87,17.4,-0.82,0.12
88,17.6,-0.82,0.16
89,17.8,-0.80,0.20
90,18.0,-0.78,0.22
91,18.2,-0.74,0.24
92,18.4,-0.68,0.26
93,18.6,-0.62,0.28
94,18.8,-0.56,0.30
95,19.0,-0.48,0.30
96,19.2,-0.38,0.30
97,19.4,-0.30,0.30
98,19.6,-0.20,0.30
99,19.8,-0.10,0.28
100,20.0,0.02,0.28
101,20.2,0.12,0.26
102,20.4,0.22,0.22
103,20.6,0.30,0.20
104,20.8,0.40,0.16
105,21.0,0.48,0.12
106,21.2,0.56,0.10
107,21.4,0.62,0.06
108,21.6,0.68,0.02
109,21.8,0.74,-0.02
110,22.0,0.78,-0.06
111,22.2,0.80,-0.10
112,22.4,0.82,-0.14
113,22.6,0.82,-0.16
114,22.8,0.80,-0.20
115,23.0,0.78,-0.22
116,23.2,0.74,-0.26
117,23.4,0.68,-0.28
118,23.6,0.62,-0.28
119,23.8,0.56,-0.30
120,24.0,0.48,-0.32
121,24.2,0.38,-0.32
122,24.4,0.28,-0.32
123,24.6,0.20,-0.30
124,24.8,0.08,-0.30
125,25.0,-0.02,-0.28
126,25.2,-0.12,-0.26
127,25.4,-0.22,-0.24
128,25.6,-0.30,-0.20
129,25.8,-0.40,-0.18
130,26.0,-0.48,-0.14
131,26.2,-0.56,-0.10
132,26.4,-0.62,-0.06
133,26.6,-0.68,-0.02
134,26.8,-0.74,0.02
135,27.0,-0.78,0.06
136,27.2,-0.80,0.10
137,27.4,-0.82,0.12
138,27.6,-0.82,0.16
139,27.8,-0.80,0.20
140,28.0,-0.78,0.22
141,28.2,-0.74,0.24
142,28.4,-0.68,0.26
143,28.6,-0.62,0.28
144,28.8,-0.56,0.30
145,29.0,-0.48,0.30
146,29.2,-0.38,0.30
147,29.4,-0.30,0.30
148,29.6,-0.20,0.30
149,29.8,-0.10,0.28
150,30.0,0.02,0.28
151,30.2,0.12,0.26
152,30.4,0.22,0.22
153,30.6,0.30,0.20
154,30.8,0.40,0.16
155,31.0,0.48,0.12
156,31.2,0.56,0.10
157,31.4,0.62,0.06
158,31.6,0.68,0.02
159,31.8,0.74,-0.02
160,32.0,0.78,-0.06
161,32.2,0.80,-0.10
162,32.4,0.82,-0.14
163,32.6,0.82,-0.16
164,32.8,0.80,-0.20
165,33.0,0.78,-0.22
166,33.2,0.74,-0.26
167,33.4,0.68,-0.28
168,33.6,0.62,-0.28
169,33.8,0.56,-0.30
170,34.0,0.48,-0.32
171,34.2,0.38,-0.32
172,34.4,0.30,-0.32
173,34.6,0.20,-0.30
174,34.8,0.08,-0.30
175,35.0,-0.02,-0.28
176,35.2,-0.12,-0.26
177,35.4,-0.22,-0.24
178,35.6,-0.30,-0.20
179,35.8,-0.40,-0.18
180,36.0,-0.48,-0.14
181,36.2,-0.56,-0.10
182,36.4,-0.62,-0.06
183,36.6,-0.68,-0.02
184,36.8,-0.74,0.02
185,37.0,-0.78,0.06
186,37.2,-0.80,0.10
187,37.4,-0.82,0.12
188,37.6,-0.82,0.16
189,37.8,-0.80,0.20
190,38.0,-0.78,0.22
191,38.2,-0.74,0.24
192,38.4,-0.68,0.26
193,38.6,-0.62,0.28
194,38.8,-0.56,0.30
195,39.0,-0.48,0.30
196,39.2,-0.38,0.30
197,39.4,-0.30,0.30
198,39.6,-0.20,0.30
199,39.8,-0.10,0.28
200,40.0,0.02,0.28
201,40.2,0.12,0.26
202,40.4,0.22,0.22
203,40.6,0.30,0.20
204,40.8,0.40,0.16
205,41.0,0.48,0.12
206,41.2,0.56,0.10
207,41.4,0.62,0.06
208,41.6,0.68,0.02
209,41.8,0.74,-0.02
210,42.0,0.78,-0.06
211,42.2,0.80,-0.10
212,42.4,0.82,-0.14
213,42.6,0.82,-0.16
214,42.8,0.80,-0.20
215,43.0,0.78,-0.22
216,43.2,0.74,-0.26
217,43.4,0.68,-0.28
218,43.6,0.62,-0.28
219,43.8,0.56,-0.30
220,44.0,0.48,-0.32
221,44.2,0.38,-0.32
222,44.4,0.28,-0.32
223,44.6,0.20,-0.30
224,44.8,0.08,-0.30
225,45.0,-0.02,-0.28
226,45.2,-0.12,-0.26
227,45.4,-0.22,-0.24
228,45.6,-0.30,-0.20
229,45.8,-0.40,-0.18
230,46.0,-0.48,-0.14
231,46.2,-0.56,-0.10
232,46.4,-0.62,-0.06
233,46.6,-0.68,-0.02
234,46.8,-0.74,0.02
235,47.0,-0.78,0.06
236,47.2,-0.80,0.10
237,47.4,-0.82,0.12
238,47.6,-0.82,0.16
239,47.8,-0.80,0.20
240,48.0,-0.78,0.22
241,48.2,-0.74,0.24
242,48.4,-0.68,0.26
243,48.6,-0.62,0.28
244,48.8,-0.56,0.30
245,49.0,-0.48,0.30
246,49.2,-0.38,0.30
247,49.4,-0.30,0.30
248,49.6,-0.20,0.30
249,49.8,-0.10,0.28
250,50.0,0.02,0.28
251,50.2,0.12,0.26
252,50.4,0.22,0.22
253,50.6,0.30,0.20
254,50.8,0.40,0.16
255,51.0,0.48,0.12
256,51.2,0.56,0.10
257,51.4,0.62,0.06
258,51.6,0.68,0.02
259,51.8,0.74,-0.02
260,52.0,0.78,-0.06
261,52.2,0.80,-0.10
262,52.4,0.82,-0.14
263,52.6,0.82,-0.16
264,52.8,0.80,-0.20
265,53.0,0.78,-0.22
266,53.2,0.74,-0.26
267,53.4,0.68,-0.28
268,53.6,0.62,-0.30
269,53.8,0.56,-0.30
270,54.0,0.48,-0.32
