,time,[V],[V]
0,0.0,0.02,0.06
1,0.2,0.64,0.68
2,0.4,1.26,1.30
3,0.6,1.86,1.88
4,0.8,2.36,2.36
5,1.0,2.36,2.38
6,1.2,2.36,2.38
7,1.4,2.36,2.38
8,1.6,2.36,2.38
9,1.8,2.36,2.38
10,2.0,2.36,2.38
11,2.2,2.36,2.38
12,2.4,2.36,2.38
13,2.6,2.36,2.38
14,2.8,2.36,2.38
15,3.0,2.36,2.38
16,3.2,2.36,2.38
17,3.4,2.36,2.38
18,3.6,2.36,2.38
19,3.8,2.36,2.38
20,4.0,2.36,2.38
21,4.2,2.38,2.32
22,4.4,1.80,1.74
23,4.6,1.22,1.16
24,4.8,0.60,0.54
25,5.0,-0.02,-0.08
26,5.2,-0.64,-0.70
27,5.4,-1.26,-1.30
28,5.6,-1.86,-1.90
29,5.8,-2.36,-2.40
30,6.0,-2.38,-2.42
31,6.2,-2.38,-2.42
32,6.4,-2.38,-2.42
33,6.6,-2.38,-2.42
34,6.8,-2.38,-2.42
35,7.0,-2.38,-2.42
36,7.2,-2.38,-2.42
37,7.4,-2.38,-2.42
38,7.6,-2.38,-2.42
39,7.8,-2.38,-2.42
40,8.0,-2.38,-2.42
41,8.2,-2.38,-2.42
42,8.4,-2.38,-2.42
43,8.6,-2.38,-2.42
44,8.8,-2.38,-2.42
45,9.0,-2.38,-2.42
46,9.2,-2.36,-2.34
47,9.4,-1.82,-1.76
48,9.6,-1.22,-1.16
49,9.8,-0.60,-0.54
50,10.0,0.02,0.06
51,10.2,0.64,0.68
52,10.4,1.26,1.30
53,10.6,1.86,1.88
54,10.8,2.36,2.36
55,11.0,2.36,2.38
56,11.2,2.36,2.38
57,11.4,2.36,2.38
58,11.6,2.36,2.38
59,11.8,2.36,2.38
60,12.0,2.36,2.38
61,12.2,2.36,2.38
62,12.4,2.36,2.38
63,12.6,2.36,2.38
64,12.8,2.36,2.38
65,13.0,2.36,2.38
66,13.2,2.36,2.38
67,13.4,2.36,2.38
68,13.6,2.36,2.38
69,13.8,2.36,2.38
70,14.0,2.36,2.38
71,14.2,2.38,2.32
72,14.4,1.80,1.74
73,14.6,1.22,1.16
74,14.8,0.60,0.54
75,15.0,-0.02,-0.08
76,15.2,-0.64,-0.70
77,15.4,-1.26,-1.30
78,15.6,-1.86,-1.90
79,15.8,-2.36,-2.40
80,16.0,-2.38,-2.42
81,16.2,-2.38,-2.42
82,16.4,-2.38,-2.42
83,16.6,-2.38,-2.42
84,16.8,-2.38,-2.42
85,17.0,-2.38,-2.42
86,17.2,-2.38,-2.42
87,17.4,-2.38,-2.42
88,17.6,-2.38,-2.42
89,17.8,-2.38,-2.42
90,18.0,-2.38,-2.42
91,18.2,-2.38,-2.42
92,18.4,-2.38,-2.42
93,18.6,-2.38,-2.42
94,18.8,-2.38,-2.42
95,19.0,-2.38,-2.42
96,19.2,-2.36,-2.34
97,19.4,-1.80,-1.76
98,19.6,-1.22,-1.16
99,19.8,-0.60,-0.56
100,20.0,0.02,0.06
101,20.2,0.64,0.68
102,20.4,1.26,1.30
103,20.6,1.86,1.88
104,20.8,2.36,2.36
105,21.0,2.36,2.38
106,21.2,2.36,2.38
107,21.4,2.36,2.38
108,21.6,2.36,2.38
109,21.8,2.36,2.38
110,22.0,2.36,2.38
111,22.2,2.36,2.38
112,22.4,2.36,2.38
113,22.6,2.36,2.38
114,22.8,2.36,2.38
115,23.0,2.36,2.38
116,23.2,2.36,2.38
117,23.4,2.36,2.38
118,23.6,2.36,2.38
119,23.8,2.36,2.38
120,24.0,2.36,2.38
121,24.2,2.38,2.32
122,24.4,1.80,1.74
123,24.6,1.22,1.16
124,24.8,0.60,0.54
125,25.0,-0.02,-0.08
126,25.2,-0.64,-0.70
127,25.4,-1.26,-1.30
128,25.6,-1.86,-1.90
129,25.8,-2.36,-2.40
130,26.0,-2.38,-2.42
131,26.2,-2.38,-2.42
132,26.4,-2.38,-2.42
133,26.6,-2.38,-2.42
134,26.8,-2.38,-2.42
135,27.0,-2.38,-2.42
136,27.2,-2.38,-2.42
137,27.4,-2.38,-2.42
138,27.6,-2.38,-2.42
139,27.8,-2.38,-2.42
140,28.0,-2.38,-2.42
141,28.2,-2.38,-2.42
142,28.4,-2.38,-2.42
143,28.6,-2.38,-2.42
144,28.8,-2.38,-2.42
145,29.0,-2.38,-2.42
146,29.2,-2.36,-2.34
147,29.4,-1.80,-1.76
148,29.6,-1.22,-1.16
149,29.8,-0.60,-0.54
150,30.0,0.02,0.06
151,30.2,0.64,0.68
152,30.4,1.26,1.30
153,30.6,1.86,1.88
154,30.8,2.36,2.36
155,31.0,2.36,2.38
156,31.2,2.36,2.38
157,31.4,2.36,2.38
158,31.6,2.36,2.38
159,31.8,2.36,2.38
160,32.0,2.36,2.38
161,32.2,2.36,2.38
162,32.4,2.36,2.38
163,32.6,2.36,2.38
164,32.8,2.36,2.38
165,33.0,2.36,2.38
166,33.2,2.36,2.38
167,33.4,2.36,2.38
168,33.6,2.36,2.38
169,33.8,2.36,2.38
170,34.0,2.36,2.38
171,34.2,2.38,2.32
172,34.4,1.80,1.74
173,34.6,1.22,1.16
174,34.8,0.60,0.54
175,35.0,-0.02,-0.08
176,35.2,-0.64,-0.70
177,35.4,-1.26,-1.30
178,35.6,-1.86,-1.90
179,35.8,-2.36,-2.40
180,36.0,-2.38,-2.42
181,36.2,-2.38,-2.42
182,36.4,-2.38,-2.42
183,36.6,-2.38,-2.42
184,36.8,-2.38,-2.42
185,37.0,-2.38,-2.42
186,37.2,-2.38,-2.42
187,37.4,-2.38,-2.42
188,37.6,-2.38,-2.42
189,37.8,-2.38,-2.42
190,38.0,-2.38,-2.42
191,38.2,-2.38,-2.42
192,38.4,-2.38,-2.42
193,38.6,-2.38,-2.42
194,38.8,-2.38,-2.42
195,39.0,-2.38,-2.42
196,39.2,-2.36,-2.34
197,39.4,-1.80,-1.76
198,39.6,-1.22,-1.16
199,39.8,-0.60,-0.56
200,40.0,0.02,0.06
201,40.2,0.64,0.68
202,40.4,1.26,1.30
203,40.6,1.86,1.88
204,40.8,2.36,2.36
205,41.0,2.36,2.38
206,41.2,2.36,2.38
207,41.4,2.36,2.38
208,41.6,2.36,2.38
209,41.8,2.36,2.38
210,42.0,2.36,2.38
211,42.2,2.36,2.38
212,42.4,2.36,2.38
213,42.6,2.36,2.38
214,42.8,2.36,2.38
215,43.0,2.36,2.38
216,43.2,2.36,2.38
217,43.4,2.36,2.38
218,43.6,2.36,2.38
219,43.8,2.36,2.38
220,44.0,2.36,2.38
221,44.2,2.38,2.32
222,44.4,1.80,1.74
223,44.6,1.22,1.16
224,44.8,0.60,0.54
225,45.0,-0.02,-0.08
226,45.2,-0.64,-0.70
227,45.4,-1.26,-1.30
228,45.6,-1.86,-1.90
229,45.8,-2.36,-2.40
230,46.0,-2.38,-2.42
231,46.2,-2.38,-2.42
232,46.4,-2.38,-2.42
233,46.6,-2.38,-2.42
234,46.8,-2.38,-2.42
235,47.0,-2.38,-2.42
236,47.2,-2.38,-2.42
237,47.4,-2.38,-2.42
238,47.6,-2.38,-2.42
239,47.8,-2.38,-2.42
240,48.0,-2.38,-2.42
241,48.2,-2.38,-2.42
242,48.4,-2.38,-2.42
243,48.6,-2.38,-2.42
244,48.8,-2.38,-2.42
245,49.0,-2.38,-2.42
246,49.2,-2.36,-2.34
247,49.4,-1.80,-1.76
248,49.6,-1.22,-1.16
249,49.8,-0.60,-0.54
250,50.0,0.02,0.06
251,50.2,0.64,0.68
252,50.4,1.26,1.30
253,50.6,1.86,1.88
254,50.8,2.36,2.36
255,51.0,2.36,2.38
256,51.2,2.36,2.38
257,51.4,2.36,2.38
258,51.6,2.36,2.38
259,51.8,2.36,2.38
260,52.0,2.36,2.38
261,52.2,2.36,2.38
262,52.4,2.36,2.38
263,52.6,2.36,2.38
264,52.8,2.36,2.38
265,53.0,2.36,2.38
266,53.2,2.36,2.38
267,53.4,2.36,2.38
268,53.6,2.36,2.38
269,53.8,2.36,2.38
270,54.0,2.36,2.38
271,54.2,2.38,2.32
272,54.4,1.80,1.74
273,54.6,1.22,1.16
274,54.8,0.60,0.54
275,55.0,-0.02,-0.08
276,55.2,-0.64,-0.70
277,55.4,-1.26,-1.30
278,55.6,-1.86,-1.90
279,55.8,-2.36,-2.40
280,56.0,-2.38,-2.42
281,56.2,-2.38,-2.42
282,56.4,-2.38,-2.42
283,56.6,-2.38,-2.42
284,56.8,-2.38,-2.42
285,57.0,-2.38,-2.42
286,57.2,-2.38,-2.42
287,57.4,-2.38,-2.42
288,57.6,-2.38,-2.42
289,57.8,-2.38,-2.42
290,58.0,-2.38,-2.42
291,58.2,-2.38,-2.42
292,58.4,-2.38,-2.42
293,58.6,-2.38,-2.42
294,58.8,-2.38,-2.42
295,59.0,-2.38,-2.42
296,59.2,-2.36,-2.34
297,59.4,-1.80,-1.76
298,59.6,-1.22,-1.16
299,59.8,-0.60,-0.56
300,60.0,0.02,0.06
301,60.2,0.64,0.68
302,60.4,1.26,1.30
303,60.6,1.86,1.88
304,60.8,2.36,2.36
305,61.0,2.36,2.38
306,61.2,2.36,2.38
307,61.4,2.36,2.38
308,61.6,2.36,2.38
309,61.8,2.36,2.38
310,62.0,2.36,2.38
311,62.2,2.36,2.38
312,62.4,2.36,2.38
313,62.6,2.36,2.38
314,62.8,2.36,2.38
315,63.0,2.36,2.38
316,63.2,2.36,2.38
317,63.4,2.36,2.38
318,63.6,2.36,2.38
319,63.8,2.36,2.38
320,64.0,2.36,2.38
