Oscilloscope 1.6.3

Experiment
Jméno

L E G E N D
CH A	primár
CH B	sekundár

M E A S U R E
Channel	U rms	U mean	U max	U min	f
A	 0 V	 0 V	29 mV	-29 mV	50,00 Hz
B	 0 V	 0 V	28 mV	-30 mV	50,00 Hz


Time [ms]	CH A [mV]	CH B [mV]
0,0	 1	-2
0,2	 4	-6
0,4	 7	-9
0,6	10	-12
0,8	14	-16
1,0	17	-19
1,2	20	-21
1,4	22	-24
1,6	24	-26
1,8	26	-27
2,0	27	-29
2,2	28	-29
2,4	28	-29
2,6	28	-30
2,8	28	-29
3,0	27	-27
3,2	25	-26
3,4	23	-24
3,6	21	-22
3,8	19	-20
4,0	16	-17
4,2	13	-13
4,4	10	-10
4,6	 6	-7
4,8	 3	-3
5,0	-1	 0
5,2	-4	 4
5,4	-8	 8
5,6	-12	11
5,8	-14	14
6,0	-17	17
6,2	-20	20
6,4	-23	23
6,6	-24	24
6,8	-27	26
7,0	-27	27
7,2	-29	28
7,4	-29	28
7,6	-29	28
7,8	-28	27
8,0	-26	26
8,2	-26	25
8,4	-24	23
8,6	-22	21
8,8	-19	18
9,0	-17	15
9,2	-14	12
9,4	-10	 9
9,6	-7	 5
9,8	-3	 2
10,0	 1	-2
10,2	 4	-6
10,4	 8	-9
10,6	11	-12
10,8	14	-16
11,0	17	-19
11,2	19	-22
11,4	22	-24
11,6	24	-26
11,8	26	-27
12,0	27	-29
12,2	28	-29
12,4	28	-30
12,6	28	-30
12,8	27	-29
13,0	27	-28
13,2	25	-26
13,4	23	-24
13,6	21	-22
13,8	19	-19
14,0	16	-17
14,2	13	-13
14,4	 9	-10
14,6	 6	-7
14,8	 3	-3
15,0	-1	 1
15,2	-4	 4
15,4	-8	 8
15,6	-11	11
15,8	-15	14
16,0	-18	18
16,2	-20	20
16,4	-23	22
16,6	-25	24
16,8	-27	26
17,0	-28	27
17,2	-29	28
17,4	-28	28
17,6	-29	28
17,8	-28	28
18,0	-27	26
18,2	-26	25
18,4	-24	23
18,6	-22	21
18,8	-19	18
19,0	-17	15
19,2	-13	12
19,4	-10	 9
19,6	-7	 5
19,8	-3	 1
20,0	 0	-2
20,2	 4	-6
20,4	 7	-9
20,6	11	-13
20,8	14	-15
21,0	17	-19
21,2	20	-21
21,4	23	-24
