Oscilloscope 1.6.3

Experiment
Jméno

L E G E N D
CH A	napìtí na primární cívce
CH B	proud na odporu

M E A S U R E
Channel	U rms	U mean	U max	U min	f
A	0,06 V	0,00 V	0,08 V	-0,08 V	50,00 Hz
B	0,65 V	0,00 V	0,92 V	-0,92 V	50,00 Hz


Time [ms]	CH A [V]	CH B [V]
0,0	0,02	-0,12
0,2	0,02	-0,18
0,4	0,02	-0,24
0,6	0,02	-0,28
0,8	0,02	-0,34
1,0	0,04	-0,40
1,2	0,04	-0,44
1,4	0,04	-0,50
1,6	0,04	-0,54
1,8	0,04	-0,60
2,0	0,06	-0,64
2,2	0,06	-0,68
2,4	0,06	-0,72
2,6	0,06	-0,76
2,8	0,06	-0,78
3,0	0,06	-0,82
3,2	0,06	-0,84
3,4	0,08	-0,86
3,6	0,08	-0,88
3,8	0,08	-0,90
4,0	0,08	-0,92
4,2	0,08	-0,92
4,4	0,08	-0,92
4,6	0,08	-0,92
4,8	0,08	-0,92
5,0	0,08	-0,92
5,2	0,08	-0,90
5,4	0,08	-0,90
5,6	0,08	-0,88
5,8	0,06	-0,86
6,0	0,06	-0,84
6,2	0,06	-0,82
6,4	0,06	-0,78
6,6	0,06	-0,74
6,8	0,06	-0,72
7,0	0,06	-0,68
7,2	0,06	-0,64
7,4	0,04	-0,58
7,6	0,04	-0,54
7,8	0,04	-0,50
8,0	0,04	-0,44
8,2	0,02	-0,40
8,4	0,02	-0,34
8,6	0,02	-0,28
8,8	0,02	-0,24
9,0	0,02	-0,18
9,2	0,00	-0,12
9,4	0,00	-0,06
9,6	0,00	0,00
9,8	-0,02	0,06
10,0	-0,02	0,12
10,2	-0,02	0,16
10,4	-0,02	0,22
10,6	-0,02	0,28
10,8	-0,04	0,34
11,0	-0,04	0,38
11,2	-0,04	0,44
11,4	-0,04	0,48
11,6	-0,04	0,54
11,8	-0,06	0,58
12,0	-0,06	0,62
12,2	-0,06	0,66
12,4	-0,06	0,70
12,6	-0,06	0,74
12,8	-0,06	0,78
13,0	-0,06	0,80
13,2	-0,08	0,82
13,4	-0,08	0,86
13,6	-0,08	0,88
13,8	-0,08	0,88
14,0	-0,08	0,90
14,2	-0,08	0,92
14,4	-0,08	0,92
14,6	-0,08	0,92
14,8	-0,08	0,92
15,0	-0,08	0,90
15,2	-0,08	0,90
15,4	-0,08	0,88
15,6	-0,08	0,88
15,8	-0,08	0,86
16,0	-0,08	0,82
16,2	-0,06	0,80
16,4	-0,06	0,78
16,6	-0,06	0,74
16,8	-0,06	0,70
17,0	-0,06	0,66
17,2	-0,06	0,62
17,4	-0,04	0,58
17,6	-0,04	0,54
17,8	-0,04	0,50
18,0	-0,04	0,44
18,2	-0,04	0,38
18,4	-0,02	0,34
18,6	-0,02	0,28
18,8	-0,02	0,22
19,0	-0,02	0,16
19,2	0,00	0,10
19,4	0,00	0,06
19,6	0,00	0,00
19,8	0,00	-0,06
20,0	0,02	-0,12
20,2	0,02	-0,18
20,4	0,02	-0,24
20,6	0,02	-0,28
20,8	0,02	-0,34
21,0	0,04	-0,40
21,2	0,04	-0,44
21,4	0,04	-0,50
21,6	0,04	-0,54
21,8	0,04	-0,58
22,0	0,06	-0,64
22,2	0,06	-0,68
22,4	0,06	-0,72
22,6	0,06	-0,76
22,8	0,06	-0,78
23,0	0,06	-0,82
23,2	0,06	-0,84
23,4	0,08	-0,86
23,6	0,08	-0,88
23,8	0,08	-0,90
24,0	0,08	-0,92
24,2	0,08	-0,92
24,4	0,08	-0,92
24,6	0,08	-0,92
24,8	0,08	-0,92
25,0	0,08	-0,92
25,2	0,08	-0,90
25,4	0,08	-0,90
25,6	0,08	-0,88
25,8	0,08	-0,86
26,0	0,06	-0,84
26,2	0,06	-0,82
26,4	0,06	-0,78
26,6	0,06	-0,74
26,8	0,06	-0,72
27,0	0,06	-0,68
27,2	0,06	-0,64
27,4	0,04	-0,58
27,6	0,04	-0,54
27,8	0,04	-0,50
28,0	0,04	-0,44
28,2	0,04	-0,40
28,4	0,02	-0,34
28,6	0,02	-0,28
28,8	0,02	-0,24
29,0	0,02	-0,18
29,2	0,00	-0,12
29,4	0,00	-0,06
29,6	0,00	0,00
29,8	0,00	0,06
30,0	-0,02	0,12
30,2	-0,02	0,16
30,4	-0,02	0,22
30,6	-0,02	0,28
30,8	-0,04	0,34
31,0	-0,04	0,38
31,2	-0,04	0,44
31,4	-0,04	0,48
31,6	-0,04	0,54
31,8	-0,06	0,58
32,0	-0,06	0,62
32,2	-0,06	0,66
32,4	-0,06	0,70
32,6	-0,06	0,74
32,8	-0,06	0,78
33,0	-0,06	0,80
33,2	-0,08	0,82
33,4	-0,08	0,86
33,6	-0,08	0,88
33,8	-0,08	0,90
34,0	-0,08	0,90
34,2	-0,08	0,92
34,4	-0,08	0,92
34,6	-0,08	0,92
34,8	-0,08	0,92
35,0	-0,08	0,92
35,2	-0,08	0,90
35,4	-0,08	0,88
35,6	-0,08	0,88
35,8	-0,08	0,86
36,0	-0,06	0,82
36,2	-0,06	0,80
36,4	-0,06	0,78
36,6	-0,06	0,74
36,8	-0,06	0,70
37,0	-0,06	0,66
37,2	-0,06	0,62
37,4	-0,04	0,58
37,6	-0,04	0,54
37,8	-0,04	0,48
38,0	-0,04	0,44
38,2	-0,04	0,38
38,4	-0,02	0,34
38,6	-0,02	0,28
38,8	-0,02	0,22
39,0	-0,02	0,16
39,2	0,00	0,10
39,4	0,00	0,06
39,6	0,00	0,00
39,8	0,00	-0,06
40,0	0,02	-0,12
40,2	0,02	-0,18
40,4	0,02	-0,24
40,6	0,02	-0,28
40,8	0,02	-0,34
41,0	0,04	-0,40
41,2	0,04	-0,44
41,4	0,04	-0,50
41,6	0,04	-0,54
41,8	0,04	-0,58
42,0	0,06	-0,64
42,2	0,06	-0,68
42,4	0,06	-0,72
42,6	0,06	-0,76
42,8	0,06	-0,78
43,0	0,06	-0,82
43,2	0,06	-0,84
43,4	0,08	-0,86
43,6	0,08	-0,88
43,8	0,08	-0,90
44,0	0,08	-0,92
44,2	0,08	-0,92
44,4	0,08	-0,92
44,6	0,08	-0,92
44,8	0,08	-0,92
45,0	0,08	-0,92
45,2	0,08	-0,90
45,4	0,08	-0,90
45,6	0,08	-0,88
45,8	0,08	-0,86
46,0	0,06	-0,84
46,2	0,06	-0,82
46,4	0,06	-0,78
46,6	0,06	-0,76
46,8	0,06	-0,72
47,0	0,06	-0,68
47,2	0,06	-0,64
47,4	0,04	-0,60
47,6	0,04	-0,54
47,8	0,04	-0,50
48,0	0,04	-0,44
48,2	0,04	-0,40
48,4	0,02	-0,34
48,6	0,02	-0,28
48,8	0,02	-0,24
49,0	0,02	-0,18
49,2	0,00	-0,12
49,4	0,00	-0,06
49,6	0,00	0,00
49,8	0,00	0,06
50,0	-0,02	0,12
50,2	-0,02	0,16
50,4	-0,02	0,22
50,6	-0,02	0,28
50,8	-0,04	0,34
51,0	-0,04	0,38
51,2	-0,04	0,44
51,4	-0,04	0,48
51,6	-0,04	0,54
51,8	-0,06	0,58
52,0	-0,06	0,62
52,2	-0,06	0,66
52,4	-0,06	0,70
52,6	-0,06	0,74
52,8	-0,06	0,78
53,0	-0,06	0,80
53,2	-0,08	0,82
53,4	-0,08	0,86
53,6	-0,08	0,88
53,8	-0,08	0,88
54,0	-0,08	0,90
54,2	-0,08	0,92
54,4	-0,08	0,92
54,6	-0,08	0,92
54,8	-0,08	0,92
55,0	-0,08	0,92
55,2	-0,08	0,90
55,4	-0,08	0,88
55,6	-0,08	0,88
55,8	-0,08	0,86
56,0	-0,06	0,84
56,2	-0,06	0,80
56,4	-0,06	0,78
56,6	-0,06	0,74
56,8	-0,06	0,70
57,0	-0,06	0,66
57,2	-0,06	0,62
57,4	-0,06	0,58
57,6	-0,04	0,54
57,8	-0,04	0,50
58,0	-0,04	0,44
58,2	-0,04	0,38
58,4	-0,02	0,34
58,6	-0,02	0,28
58,8	-0,02	0,22
59,0	-0,02	0,16
59,2	0,00	0,10
59,4	0,00	0,06
59,6	0,00	0,00
59,8	0,00	-0,06
60,0	0,02	-0,12
60,2	0,02	-0,18
60,4	0,02	-0,24
60,6	0,02	-0,28
60,8	0,02	-0,34
61,0	0,04	-0,40
61,2	0,04	-0,44
61,4	0,04	-0,50
61,6	0,04	-0,54
61,8	0,04	-0,60
62,0	0,06	-0,64
62,2	0,06	-0,68
62,4	0,06	-0,72
62,6	0,06	-0,74
62,8	0,06	-0,78
63,0	0,06	-0,82
63,2	0,06	-0,84
63,4	0,08	-0,86
63,6	0,08	-0,88
63,8	0,08	-0,90
64,0	0,08	-0,92
64,2	0,08	-0,92
64,4	0,08	-0,92
64,6	0,08	-0,92
64,8	0,08	-0,92
65,0	0,08	-0,92
65,2	0,08	-0,90
65,4	0,08	-0,90
65,6	0,08	-0,88
65,8	0,08	-0,86
66,0	0,06	-0,84
66,2	0,06	-0,82
66,4	0,06	-0,78
66,6	0,06	-0,74
66,8	0,06	-0,72
67,0	0,06	-0,68
67,2	0,04	-0,64
67,4	0,04	-0,60
67,6	0,04	-0,54
67,8	0,04	-0,50
68,0	0,04	-0,44
68,2	0,04	-0,40
68,4	0,02	-0,34
68,6	0,02	-0,28
68,8	0,02	-0,22
69,0	0,02	-0,18
69,2	0,00	-0,12
69,4	0,00	-0,06
69,6	0,00	0,00
69,8	0,00	0,06
70,0	-0,02	0,12
70,2	-0,02	0,16
70,4	-0,02	0,22
70,6	-0,02	0,28
70,8	-0,04	0,34
71,0	-0,04	0,38
71,2	-0,04	0,44
71,4	-0,04	0,48
71,6	-0,04	0,54
71,8	-0,06	0,58
72,0	-0,06	0,62
72,2	-0,06	0,66
72,4	-0,06	0,70
72,6	-0,06	0,74
72,8	-0,06	0,78
73,0	-0,06	0,80
73,2	-0,08	0,84
73,4	-0,08	0,86
73,6	-0,08	0,88
73,8	-0,08	0,88
74,0	-0,08	0,90
74,2	-0,08	0,92
74,4	-0,08	0,92
74,6	-0,08	0,92
74,8	-0,08	0,92
75,0	-0,08	0,92
75,2	-0,08	0,90
75,4	-0,08	0,88
75,6	-0,08	0,88
75,8	-0,08	0,86
76,0	-0,06	0,82
76,2	-0,06	0,80
76,4	-0,06	0,78
76,6	-0,06	0,74
76,8	-0,06	0,70
77,0	-0,06	0,66
77,2	-0,06	0,62
77,4	-0,04	0,58
77,6	-0,04	0,54
77,8	-0,04	0,48
78,0	-0,04	0,44
78,2	-0,04	0,38
78,4	-0,02	0,34
78,6	-0,02	0,28
78,8	-0,02	0,22
79,0	-0,02	0,16
79,2	-0,02	0,10
79,4	0,00	0,06
79,6	0,00	0,00
79,8	0,00	-0,06
80,0	0,00	-0,12
80,2	0,02	-0,18
80,4	0,02	-0,24
80,6	0,02	-0,28
80,8	0,02	-0,34
81,0	0,04	-0,40
81,2	0,04	-0,44
81,4	0,04	-0,50
81,6	0,04	-0,54
81,8	0,04	-0,60
82,0	0,06	-0,64
82,2	0,06	-0,68
82,4	0,06	-0,72
82,6	0,06	-0,74
82,8	0,06	-0,78
83,0	0,06	-0,82
83,2	0,06	-0,84
83,4	0,08	-0,86
83,6	0,08	-0,88
83,8	0,08	-0,90
84,0	0,08	-0,90
84,2	0,08	-0,92
84,4	0,08	-0,92
84,6	0,08	-0,92
84,8	0,08	-0,92
85,0	0,08	-0,92
85,2	0,08	-0,90
85,4	0,08	-0,90
85,6	0,08	-0,88
85,8	0,08	-0,86
86,0	0,06	-0,84
86,2	0,06	-0,82
86,4	0,06	-0,78
86,6	0,06	-0,74
86,8	0,06	-0,72
87,0	0,06	-0,68
87,2	0,06	-0,64
87,4	0,04	-0,60
87,6	0,04	-0,54
87,8	0,04	-0,50
88,0	0,04	-0,44
88,2	0,04	-0,40
88,4	0,02	-0,34
88,6	0,02	-0,28
88,8	0,02	-0,24
89,0	0,02	-0,18
89,2	0,00	-0,12
89,4	0,00	-0,06
89,6	0,00	0,00
89,8	0,00	0,06
90,0	-0,02	0,12
90,2	-0,02	0,16
90,4	-0,02	0,22
90,6	-0,02	0,28
90,8	-0,04	0,34
91,0	-0,04	0,38
91,2	-0,04	0,44
91,4	-0,04	0,50
91,6	-0,04	0,54
91,8	-0,06	0,58
92,0	-0,06	0,62
92,2	-0,06	0,66
92,4	-0,06	0,70
92,6	-0,06	0,74
92,8	-0,06	0,78
93,0	-0,06	0,80
93,2	-0,08	0,82
93,4	-0,08	0,86
93,6	-0,08	0,88
93,8	-0,08	0,88
94,0	-0,08	0,90
94,2	-0,08	0,92
94,4	-0,08	0,92
94,6	-0,08	0,92
