Oscilloscope 1.6.3

Experiment
Jméno

L E G E N D
CH A	napìtí na primární cívce
CH B	proud na odporu

M E A S U R E
Channel	U rms	U mean	U max	U min	f
A	0,39 V	0,00 V	0,56 V	-0,56 V	50,00 Hz
B	0,35 V	0,00 V	0,50 V	-0,50 V	49,95 Hz


Time [ms]	CH A [V]	CH B [V]
0,0	0,02	0,30
0,2	0,04	0,28
0,4	0,08	0,26
0,6	0,12	0,22
0,8	0,14	0,20
1,0	0,18	0,16
1,2	0,22	0,14
1,4	0,24	0,10
1,6	0,28	0,06
1,8	0,30	0,04
2,0	0,32	0,00
2,2	0,36	-0,02
2,4	0,38	-0,06
2,6	0,40	-0,08
2,8	0,42	-0,12
3,0	0,44	-0,16
3,2	0,46	-0,18
3,4	0,48	-0,22
3,6	0,50	-0,24
3,8	0,52	-0,26
4,0	0,52	-0,30
4,2	0,54	-0,32
4,4	0,54	-0,34
4,6	0,54	-0,36
4,8	0,56	-0,38
5,0	0,56	-0,40
5,2	0,56	-0,42
5,4	0,56	-0,44
5,6	0,54	-0,46
5,8	0,54	-0,46
6,0	0,52	-0,48
6,2	0,52	-0,48
6,4	0,50	-0,48
6,6	0,48	-0,50
6,8	0,46	-0,50
7,0	0,44	-0,50
7,2	0,42	-0,50
7,4	0,40	-0,50
7,6	0,38	-0,50
7,8	0,36	-0,48
8,0	0,32	-0,48
8,2	0,30	-0,48
8,4	0,26	-0,46
8,6	0,22	-0,44
8,8	0,20	-0,44
9,0	0,16	-0,42
9,2	0,12	-0,40
9,4	0,10	-0,38
9,6	0,06	-0,36
9,8	0,02	-0,34
10,0	-0,02	-0,30
10,2	-0,04	-0,28
10,4	-0,08	-0,26
10,6	-0,12	-0,22
10,8	-0,16	-0,20
11,0	-0,18	-0,18
11,2	-0,22	-0,14
11,4	-0,24	-0,10
11,6	-0,28	-0,08
11,8	-0,30	-0,04
12,0	-0,34	-0,02
12,2	-0,36	0,02
12,4	-0,38	0,06
12,6	-0,40	0,08
12,8	-0,42	0,12
13,0	-0,46	0,14
13,2	-0,46	0,18
13,4	-0,48	0,20
13,6	-0,50	0,24
13,8	-0,52	0,26
14,0	-0,52	0,28
14,2	-0,54	0,32
14,4	-0,54	0,34
14,6	-0,56	0,36
14,8	-0,56	0,38
15,0	-0,56	0,40
15,2	-0,56	0,42
15,4	-0,56	0,44
15,6	-0,54	0,44
15,8	-0,54	0,46
16,0	-0,52	0,46
16,2	-0,52	0,48
16,4	-0,50	0,48
16,6	-0,48	0,48
16,8	-0,46	0,50
17,0	-0,44	0,50
17,2	-0,42	0,50
17,4	-0,40	0,50
17,6	-0,38	0,48
17,8	-0,36	0,48
18,0	-0,32	0,48
18,2	-0,30	0,46
18,4	-0,26	0,46
18,6	-0,24	0,44
18,8	-0,20	0,42
19,0	-0,16	0,40
19,2	-0,12	0,38
19,4	-0,10	0,38
19,6	-0,06	0,36
19,8	-0,02	0,32
20,0	0,02	0,30
20,2	0,04	0,28
20,4	0,08	0,24
20,6	0,12	0,22
20,8	0,14	0,20
21,0	0,18	0,16
21,2	0,20	0,14
21,4	0,24	0,10
21,6	0,28	0,08
21,8	0,30	0,04
22,0	0,32	0,00
22,2	0,36	-0,02
22,4	0,38	-0,06
22,6	0,40	-0,08
22,8	0,42	-0,12
23,0	0,44	-0,16
23,2	0,46	-0,18
23,4	0,48	-0,22
23,6	0,50	-0,24
23,8	0,52	-0,26
24,0	0,52	-0,30
24,2	0,54	-0,32
24,4	0,54	-0,34
24,6	0,54	-0,36
24,8	0,56	-0,38
25,0	0,56	-0,40
25,2	0,56	-0,42
25,4	0,56	-0,44
25,6	0,54	-0,46
25,8	0,54	-0,46
26,0	0,52	-0,48
26,2	0,52	-0,48
26,4	0,50	-0,50
26,6	0,48	-0,50
26,8	0,46	-0,50
27,0	0,44	-0,50
27,2	0,42	-0,50
27,4	0,40	-0,50
27,6	0,38	-0,50
27,8	0,36	-0,48
28,0	0,32	-0,48
28,2	0,28	-0,48
28,4	0,26	-0,46
28,6	0,22	-0,44
28,8	0,20	-0,44
29,0	0,16	-0,42
29,2	0,12	-0,40
29,4	0,10	-0,38
29,6	0,06	-0,36
29,8	0,02	-0,34
30,0	-0,02	-0,30
30,2	-0,04	-0,28
30,4	-0,08	-0,26
30,6	-0,12	-0,24
30,8	-0,14	-0,20
31,0	-0,18	-0,16
31,2	-0,22	-0,14
31,4	-0,24	-0,10
31,6	-0,28	-0,08
31,8	-0,30	-0,04
32,0	-0,34	-0,02
32,2	-0,36	0,02
32,4	-0,38	0,04
32,6	-0,40	0,08
32,8	-0,42	0,12
33,0	-0,46	0,14
33,2	-0,46	0,18
33,4	-0,48	0,20
33,6	-0,50	0,24
33,8	-0,52	0,26
34,0	-0,52	0,28
34,2	-0,54	0,32
34,4	-0,54	0,34
34,6	-0,56	0,36
34,8	-0,56	0,38
35,0	-0,56	0,40
35,2	-0,56	0,42
35,4	-0,56	0,42
35,6	-0,54	0,44
35,8	-0,54	0,46
36,0	-0,52	0,46
36,2	-0,52	0,48
36,4	-0,50	0,48
36,6	-0,48	0,48
36,8	-0,46	0,50
37,0	-0,44	0,50
37,2	-0,42	0,50
37,4	-0,40	0,50
37,6	-0,38	0,48
37,8	-0,36	0,48
38,0	-0,32	0,48
38,2	-0,30	0,46
38,4	-0,26	0,46
38,6	-0,24	0,44
38,8	-0,20	0,42
39,0	-0,16	0,40
39,2	-0,12	0,38
39,4	-0,10	0,38
39,6	-0,06	0,34
39,8	-0,02	0,32
40,0	0,02	0,30
40,2	0,04	0,28
40,4	0,08	0,24
40,6	0,12	0,22
40,8	0,14	0,20
41,0	0,18	0,16
41,2	0,22	0,14
41,4	0,24	0,10
41,6	0,28	0,06
41,8	0,30	0,04
42,0	0,32	0,00
42,2	0,36	-0,02
42,4	0,38	-0,06
42,6	0,40	-0,08
42,8	0,42	-0,12
43,0	0,44	-0,16
43,2	0,46	-0,18
43,4	0,48	-0,22
43,6	0,50	-0,24
