Oscilloscope 1.6.3

Experiment
Jméno

L E G E N D
CH A	napìtí na primární cívce
CH B	proud na odporu

M E A S U R E
Channel	U rms	U mean	U max	U min	f
A	0,00 V	0,00 V	1,20 V	-1,20 V	50,00 Hz
B	0,00 V	0,00 V	0,84 V	-0,84 V	50,00 Hz


Time [ms]	CH A [V]	CH B [V]
0,0	0,02	0,34
0,2	0,16	0,24
0,4	0,30	0,14
0,6	0,44	0,02
0,8	0,58	-0,08
1,0	0,70	-0,18
1,2	0,82	-0,28
1,4	0,92	-0,38
1,6	1,00	-0,48
1,8	1,08	-0,56
2,0	1,14	-0,64
2,2	1,18	-0,70
2,4	1,20	-0,76
2,6	1,20	-0,80
2,8	1,18	-0,84
3,0	1,14	-0,84
3,2	1,08	-0,84
3,4	1,00	-0,84
3,6	0,92	-0,82
3,8	0,82	-0,78
4,0	0,70	-0,74
4,2	0,56	-0,68
4,4	0,42	-0,60
4,6	0,28	-0,52
4,8	0,14	-0,44
5,0	-0,02	-0,34
5,2	-0,16	-0,24
5,4	-0,30	-0,14
5,6	-0,44	-0,04
5,8	-0,58	0,08
6,0	-0,70	0,18
6,2	-0,82	0,28
6,4	-0,92	0,38
6,6	-1,00	0,48
6,8	-1,08	0,56
7,0	-1,14	0,64
7,2	-1,18	0,70
7,4	-1,20	0,76
7,6	-1,20	0,80
7,8	-1,18	0,82
8,0	-1,14	0,84
8,2	-1,08	0,84
8,4	-1,00	0,84
8,6	-0,92	0,80
8,8	-0,82	0,78
9,0	-0,70	0,72
9,2	-0,58	0,66
9,4	-0,44	0,60
9,6	-0,28	0,52
9,8	-0,14	0,44
10,0	0,02	0,34
10,2	0,16	0,24
10,4	0,30	0,14
10,6	0,44	0,02
10,8	0,58	-0,08
11,0	0,70	-0,18
11,2	0,82	-0,30
11,4	0,92	-0,38
11,6	1,00	-0,48
11,8	1,08	-0,56
12,0	1,14	-0,64
12,2	1,18	-0,70
12,4	1,20	-0,76
12,6	1,20	-0,80
12,8	1,18	-0,82
13,0	1,14	-0,84
13,2	1,08	-0,84
