V-A Characteristics 1.6.5

Experiment
Jméno

L E G E N D
M1	2V
M2	4V
M3	6V
M4	8V

M1 - U [V]	M1 - I [mA]	M2 - U [V]	M2 - I [mA]	M3 - U [V]	M3 - I [mA]	M4 - U [V]	M4 - I [mA]
0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
0,008	0,031	0,008	0,031	0,008	0,108	0,008	0,108
0,011	0,060	0,011	0,060	0,011	0,167	0,011	0,167
0,016	0,100	0,015	0,100	0,015	0,238	0,015	0,238
0,023	0,150	0,020	0,150	0,020	0,319	0,020	0,322
0,030	0,200	0,025	0,200	0,025	0,388	0,025	0,400
0,037	0,250	0,030	0,256	0,030	0,456	0,030	0,488
0,044	0,300	0,035	0,325	0,035	0,537	0,035	0,600
0,050	0,350	0,040	0,406	0,040	0,640	0,040	0,742
0,055	0,400	0,045	0,500	0,045	0,771	0,045	0,917
0,060	0,456	0,050	0,606	0,050	0,929	0,050	1,121
0,065	0,525	0,055	0,725	0,055	1,113	0,055	1,350
0,070	0,606	0,060	0,863	0,060	1,321	0,060	1,615
0,075	0,700	0,065	1,025	0,065	1,554	0,065	1,925
0,080	0,800	0,070	1,213	0,070	1,806	0,070	2,280
0,085	0,900	0,075	1,425	0,075	2,071	0,075	2,679
0,090	1,003	0,080	1,663	0,080	2,354	0,080	3,107
0,095	1,113	0,085	1,925	0,085	2,663	0,085	3,550
0,100	1,234	0,090	2,206	0,090	3,007	0,090	4,003
0,105	1,375	0,095	2,500	0,095	3,398	0,095	4,463
0,110	1,528	0,100	2,798	0,100	3,825	0,100	4,938
0,115	1,688	0,105	3,092	0,105	4,279	0,105	5,439
0,120	1,847	0,110	3,380	0,110	4,745	0,110	5,974
0,125	2,000	0,115	3,663	0,115	5,211	0,115	6,551
0,130	2,156	0,120	3,952	0,120	5,676	0,120	7,153
0,135	2,325	0,125	4,263	0,125	6,136	0,125	7,762
0,140	2,497	0,130	4,599	0,130	6,593	0,130	8,355
0,145	2,663	0,135	4,967	0,135	7,048	0,135	8,908
0,150	2,813	0,140	5,340	0,140	7,496	0,140	9,426
0,155	2,938	0,145	5,692	0,145	7,938	0,145	9,912
0,160	3,053	0,150	6,011	0,150	8,363	0,150	10,372
0,165	3,175	0,155	6,288	0,155	8,763	0,155	10,811
0,170	3,297	0,160	6,536	0,160	9,132	0,160	11,224
0,175	3,413	0,165	6,775	0,165	9,467	0,165	11,605
0,180	3,513	0,170	7,009	0,170	9,774	0,170	11,957
0,185	3,588	0,175	7,246	0,175	10,063	0,175	12,285
0,190	3,653	0,180	7,475	0,180	10,336	0,180	12,596
0,195	3,725	0,185	7,688	0,185	10,600	0,185	12,900
0,200	3,800	0,190	7,880	0,190	10,849	0,190	13,197
0,205	3,875	0,195	8,050	0,195	11,079	0,195	13,488
0,210	3,944	0,200	8,205	0,200	11,292	0,200	13,765
0,216	4,000	0,205	8,354	0,205	11,488	0,205	14,021
0,223	4,050	0,210	8,498	0,210	11,669	0,210	14,254
0,231	4,100	0,215	8,638	0,215	11,838	0,215	14,463
0,240	4,144	0,220	8,763	0,220	11,997	0,220	14,648
0,249	4,175	0,225	8,863	0,225	12,150	0,225	14,813
0,257	4,194	0,230	8,941	0,230	12,297	0,230	14,960
0,265	4,200	0,235	9,000	0,235	12,438	0,235	15,096
0,273	4,200	0,240	9,056	0,240	12,569	0,240	15,227
0,280	4,200	0,245	9,125	0,245	12,688	0,245	15,363
0,288	4,200	0,250	9,206	0,250	12,797	0,250	15,500
0,296	4,200	0,255	9,300	0,255	12,900	0,255	15,638
0,305	4,200	0,260	9,394	0,260	13,000	0,260	15,769
0,315	4,200	0,265	9,475	0,265	13,100	0,265	15,888
0,325	4,200	0,270	9,544	0,270	13,200	0,270	15,997
0,334	4,200	0,275	9,600	0,275	13,300	0,275	16,100
0,343	4,200	0,280	9,650	0,280	13,394	0,280	16,200
0,351	4,200	0,285	9,700	0,285	13,475	0,285	16,300
0,360	4,200	0,290	9,744	0,290	13,544	0,290	16,400
0,370	4,200	0,296	9,775	0,295	13,600	0,295	16,500
0,380	4,200	0,303	9,800	0,300	13,653	0,300	16,600
0,390	4,200	0,310	9,825	0,305	13,713	0,305	16,700
0,400	4,200	0,317	9,856	0,310	13,781	0,310	16,800
0,411	4,200	0,324	9,900	0,315	13,863	0,315	16,900
0,423	4,200	0,330	9,950	0,320	13,950	0,320	17,000
0,435	4,200	0,336	10,000	0,325	14,038	0,325	17,100
0,448	4,200	0,343	10,050	0,330	14,119	0,330	17,194
0,460	4,200	0,350	10,100	0,335	14,188	0,335	17,275
0,473	4,200	0,357	10,144	0,340	14,247	0,340	17,344
0,485	4,200	0,365	10,175	0,345	14,300	0,345	17,400
0,497	4,200	0,373	10,200	0,350	14,350	0,350	17,459
0,509	4,200	0,381	10,225	0,355	14,400	0,355	17,538
0,520	4,206	0,390	10,256	0,360	14,450	0,360	17,637
0,530	4,225	0,400	10,300	0,365	14,500	0,365	17,762
0,540	4,250	0,410	10,344	0,370	14,550	0,370	17,894
0,550	4,275	0,419	10,375	0,375	14,600	0,375	18,012
0,560	4,288	0,427	10,394	0,380	14,656	0,380	18,113
0,570	4,275	0,435	10,400	0,385	14,725	0,385	18,188
0,580	4,250	0,443	10,400	0,390	14,800	0,390	18,250
0,590	4,225	0,451	10,400	0,396	14,875	0,395	18,313
0,600	4,206	0,460	10,400	0,403	14,944	0,400	18,375
0,610	4,200	0,470	10,400	0,410	15,000	0,405	18,438
0,620	4,206	0,480	10,400	0,417	15,050	0,410	18,500
0,631	4,225	0,490	10,400	0,424	15,100	0,415	18,563
0,643	4,250	0,500	10,400	0,430	15,150	0,420	18,625
0,655	4,275	0,511	10,400	0,435	15,200	0,425	18,688
0,667	4,288	0,523	10,406	0,440	15,250	0,430	18,747
0,680	4,275	0,535	10,425	0,445	15,300	0,435	18,800
0,693	4,250	0,547	10,456	0,450	15,350	0,440	18,856
0,705	4,225	0,560	10,500	0,455	15,400	0,445	18,925
0,717	4,206	0,573	10,544	0,460	15,450	0,450	19,000
