V-A Characteristics 1.6.5

Experiment
Jméno

L E G E N D
M1	100mV
M2	500mV
M3	1V
M4	2V

M1 - U [V]	M1 - I [mA]	M2 - U [V]	M2 - I [mA]	M3 - U [V]	M3 - I [mA]	M4 - U [V]	M4 - I [mA]
0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
0,008	0,123	0,008	1,385	0,008	2,400	0,008	2,554
0,011	0,160	0,011	1,853	0,011	3,298	0,011	3,567
0,015	0,200	0,015	2,325	0,015	4,250	0,015	4,700
0,020	0,250	0,020	2,831	0,020	5,285	0,020	6,025
0,025	0,300	0,025	3,200	0,025	6,058	0,025	7,200
0,030	0,350	0,030	3,463	0,030	6,627	0,030	8,294
0,035	0,400	0,036	3,650	0,036	7,050	0,035	9,375
0,040	0,450	0,043	3,781	0,043	7,381	0,040	10,463
0,045	0,500	0,051	3,875	0,051	7,675	0,045	11,575
0,050	0,544	0,060	3,944	0,060	7,931	0,050	12,663
0,056	0,575	0,069	4,000	0,069	8,150	0,055	13,675
0,063	0,594	0,077	4,050	0,077	8,331	0,060	14,581
0,070	0,600	0,085	4,100	0,085	8,475	0,066	15,350
0,078	0,600	0,093	4,144	0,093	8,588	0,073	15,981
0,085	0,600	0,101	4,175	0,100	8,675	0,080	16,475
0,093	0,606	0,110	4,194	0,108	8,744	0,088	16,856
0,101	0,625	0,119	4,200	0,115	8,800	0,095	17,150
0,110	0,656	0,127	4,206	0,123	8,850	0,103	17,381
0,119	0,700	0,135	4,225	0,133	8,900	0,111	17,575
0,127	0,800	0,143	4,256	0,143	8,944	0,120	17,738
0,135	0,775	0,153	4,300	0,155	8,975	0,130	17,875
0,143	0,794	0,163	4,344	0,167	8,994	0,140	17,994
0,151	0,800	0,175	4,375	0,179	9,000	0,150	18,100
0,160	0,800	0,187	4,394	0,190	9,006	0,160	18,200
0,170	0,800	0,199	4,400	0,201	9,025	0,171	18,300
0,180	0,800	0,210	4,400	0,212	9,056	0,183	18,394
0,190	0,800	0,221	4,400	0,224	9,100	0,195	18,475
0,200	0,800	0,233	4,400	0,234	9,144	0,207	18,538
0,210	0,800	0,244	4,400	0,244	9,175	0,218	18,575
0,220	0,800	0,254	4,400	0,253	9,194	0,227	18,594
0,230	0,800	0,264	4,400	0,261	9,200	0,235	18,600
0,240	0,800	0,273	4,400	0,270	9,200	0,243	18,600
0,250	0,800	0,281	4,400	0,280	9,200	0,251	18,600
0,260	0,800	0,290	4,400	0,290	9,200	0,260	18,606
0,270	0,800	0,300	4,400	0,300	9,200	0,270	18,625
0,280	0,800	0,310	4,400	0,310	9,200	0,280	18,656
0,290	0,800	0,320	4,400	0,320	9,200	0,291	18,700
0,300	0,800	0,330	4,400	0,330	9,200	0,303	18,744
0,310	0,800	0,340	4,400	0,341	9,200	0,315	18,775
0,320	0,800	0,350	4,406	0,353	9,200	0,327	18,794
0,330	0,800	0,360	4,425	0,365	9,200	0,339	18,800
0,340	0,800	0,370	4,456	0,377	9,200	0,350	18,800
0,350	0,800	0,381	4,500	0,389	9,200	0,361	18,800
0,360	0,800	0,393	4,544	0,400	9,200	0,373	18,800
0,370	0,800	0,405	4,575	0,410	9,200	0,385	18,800
0,380	0,800	0,417	4,594	0,420	9,200	0,397	18,800
0,390	0,800	0,429	4,600	0,430	9,200	0,409	18,800
0,400	0,800	0,440	4,600	0,440	9,200	0,420	18,800
0,410	0,800	0,450	4,600	0,450	9,200	0,430	18,800
0,420	0,800	0,460	4,600	0,460	9,200	0,440	18,800
0,431	0,800	0,470	4,600	0,470	9,200	0,449	18,800
0,443	0,800	0,480	4,600	0,480	9,206	0,458	18,806
0,454	0,800	0,490	4,600	0,490	9,225	0,466	18,825
0,464	0,800	0,500	4,600	0,500	9,256	0,476	18,856
0,474	0,800	0,510	4,600	0,510	9,300	0,486	18,900
0,482	0,800	0,520	4,600	0,520	9,344	0,497	18,944
0,491	0,800	0,530	4,600	0,530	9,375	0,508	18,975
0,500	0,800	0,540	4,600	0,540	9,394	0,517	18,994
0,510	0,800	0,550	4,600	0,550	9,400	0,525	19,000
0,520	0,800	0,560	4,600	0,560	9,400	0,533	19,000
0,530	0,800	0,570	4,600	0,569	9,400	0,541	19,000
0,540	0,800	0,580	4,600	0,578	9,400	0,550	19,000
